DateSampled,Year,Site,LabID,DetectionLimit,Ammonium_mgL,Calcium_ICP,Chloride,Magnesium_ICP,Nitrate_N,Phosphate_P,Sodium_ICP,Total_Nitrogen,Total _Phosphorus
07/14/17,2017,9,1707-09,,-0.02,,,,0.34,0.004,,0.36,0.027
07/14/17,2017,10,1707-10,,-0.02,,,,0.49,0.004,,0.67,0.021
07/14/17,2017,11,1707-11,,0.06,,,,0.37,0.005,,0.5,0.038
07/14/17,2017,12,1707-12,,0.02,,,,0.21,0.007,,0.38,0.032
07/14/17,2017,14,1707-14,,-0.02,,,,0.32,0.003,,0.31,0.021
08/11/17,2017,1,1708-01,,-0.02,,,,1.22,0.008,,1.24,0.045
08/11/17,2017,2,1708-2A,,-0.02,,,,1.41,0.01,,1.5,0.073
08/11/17,2017,3,1708-03,,-0.02,,,,1.09,0.004,,1.18,0.03
08/11/17,2017,4,1708-04,,0.03,,,,1.17,0.004,,1.27,0.026
08/11/17,2017,5,1708-05,,-0.02,,,,1.29,0.003,,1.33,0.025
08/11/17,2017,6,1708-06,,-0.02,,,,2.5,0.005,,2.53,0.05
08/11/17,2017,7,1708-07,,0.02,,,,1.33,0.003,,1.37,0.016
08/11/17,2017,9,1708-09,,-0.02,,,,0.37,0.002,,0.38,0.018
08/11/17,2017,10,1708-10,,-0.02,,,,0.43,0.002,,0.45,0.026
08/11/17,2017,11,1708-11,,-0.02,,,,0.23,0.004,,0.27,0.019
08/11/17,2017,12,1708-12,,0.04,,,,0.43,0.003,,0.5,0.031
08/11/17,2017,14,1708-14,,-0.02,,,,0.28,0.002,,0.25,0.016
09/08/17,2017,1,1709-01,,0.08,,,,1.38,0.028,,1.56,0.09
09/08/17,2017,2,1709-2A,,0.1,,,,1.48,0.03,,1.7,0.124
09/08/17,2017,3,1709-03,,-0.02,,,,0.92,0.005,,0.97,0.025
09/08/17,2017,4,1709-04,,-0.02,,,,0.96,0.004,,1.04,0.024
09/08/17,2017,5,1709-05,,-0.02,,,,1.1,0.003,,1.15,0.021
09/08/17,2017,6,1709-06,,-0.02,,,,2.49,0.01,,2.48,0.066
09/08/17,2017,7,1709-07,,-0.02,,,,1.05,-0.002,,1.06,0.018
09/08/17,2017,8,1709-08,,-0.02,,,,1.66,0.005,,1.8,0.025
09/08/17,2017,9,1709-09,,-0.02,,,,0.36,0.004,,0.35,0.014
09/08/17,2017,10,1709-10,,-0.02,,,,0.4,0.007,,0.45,0.019
09/08/17,2017,11,1709-11,,0.03,,,,0.32,0.006,,0.38,0.034
09/08/17,2017,12,1709-12,,-0.02,,,,0.15,0.006,,0.19,0.017
09/08/17,2017,14,1709-14,,-0.02,,,,0.27,0.003,,0.24,0.012
10/13/17,2017,1,1710-01,,0.04,,,,0.63,0.024,,0.83,0.067
10/13/17,2017,2,1710-2A,,0.04,,,,2.37,0.088,,2.57,0.246
10/13/17,2017,3,1710-03,,-0.02,,,,0.98,0.004,,1.04,0.036
10/13/17,2017,4,1710-04,,0.02,,,,0.94,0.004,,1.08,0.029
10/13/17,2017,5,1710-05,,0.03,,,,1.18,0.003,,1.25,0.023
10/13/17,2017,6,1710-06,,-0.02,,,,1.88,0.012,,2.83,0.055
10/13/17,2017,7,1710-07,,0.04,,,,1.15,0.004,,1.32,0.029
10/13/17,2017,9,1710-09,,-0.02,,,,0.28,0.002,,0.26,0.015
10/13/17,2017,11,1710-11,,0.03,,,,0.27,0.01,,0.31,0.042
10/13/17,2017,12,1710-12,,-0.02,,,,0.09,0.008,,0.13,0.078
10/13/17,2017,14,1710-14,,-0.02,,,,0.28,0.003,,0.23,0.013
11/10/17,2017,1,1711-01,,-0.02,,,,1.54,0.033,,1.72,0.14
11/10/17,2017,2,1711-2A,,-0.02,,,,1.67,0.051,,1.78,0.129
11/10/17,2017,3,1711-03,,-0.02,,,,0.99,0.005,,1.09,0.02
11/10/17,2017,4,1711-04,,-0.02,,,,1,0.005,,1.07,0.021
11/10/17,2017,5,1711-05,,-0.02,,,,1.13,0.004,,1.22,0.02
11/10/17,2017,6,1711-06,,-0.02,,,,2.49,0.018,,2.56,0.077
11/10/17,2017,7,1711-07,,0.02,,,,0.99,0.003,,1.08,0.016
11/10/17,2017,8,1711-08,,-0.02,,,,0.91,0.002,,1.2,0.01
11/10/17,2017,9,1711-09,,-0.02,,,,0.31,0.003,,0.26,0.014
11/10/17,2017,10,1711-10,,-0.02,,,,0.25,0.005,,0.27,0.014
11/10/17,2017,11,1711-11,,-0.02,,,,0.22,0.009,,0.27,0.028
11/10/17,2017,12,1711-12,,-0.02,,,,0.1,0.006,,0.18,0.016
11/10/17,2017,14,1711-14,,-0.02,,,,0.41,0.011,,0.36,0.026
12/08/17,2017,1,1712-01,,-0.02,,,,1.52,0.027,,1.52,0.08
12/08/17,2017,2,1712-2A,,-0.02,,,,1.59,0.03,,1.57,0.095
12/08/17,2017,3,1712-03,,-0.02,,,,1.03,-0.002,,1.04,0.007
12/08/17,2017,4,1712-04,,-0.02,,,,1.06,-0.002,,1.07,0.015
12/08/17,2017,5,1712-05,,-0.02,,,,1.09,-0.002,,1.11,0.014
12/08/17,2017,6,1712-06,,-0.02,,,,2.7,0.012,,2.73,0.073
12/08/17,2017,7,1712-07,,-0.02,,,,1.06,-0.002,,1.07,0.012
12/08/17,2017,8,1712-08,,-0.02,,,,0.94,-0.002,,1.15,0.013
12/08/17,2017,9,1712-09,,-0.02,,,,0.39,-0.002,,0.35,0.008
12/08/17,2017,10,1712-10,,-0.02,,,,0.29,-0.002,,0.32,0.012
12/08/17,2017,11,1712-11,,-0.02,,,,0.19,0.002,,0.23,0.015
12/08/17,2017,12,1712-12,,-0.02,,,,0.08,-0.002,,0.13,0.011
12/08/17,2017,14,1712-14,,-0.02,,,,0.56,0.014,,0.58,0.057
01/25/18,2018,2,1801-2A,,-0.02,,,,0.66,0.008,,0.81,0.033
02/09/18,2018,1,1802-01,,-0.02,,,,1.07,0.012,,1.15,0.033
02/09/18,2018,2,1802-2A,,-0.02,,,,1.05,0.011,,1.17,0.035
02/09/18,2018,3,1802-03,,-0.02,,,,0.86,-0.002,,0.97,0.012
02/09/18,2018,4,1802-04,,-0.02,,,,0.89,0.003,,0.95,0.012
02/09/18,2018,5,1802-05,,-0.02,,,,0.73,0.002,,1.01,0.014
02/09/18,2018,6,1802-06,,0.32,,,,2.24,0.03,,2.74,0.095
02/09/18,2018,7,1802-07,,-0.02,,,,0.85,-0.002,,0.91,0.009
02/09/18,2018,8,1802-08,,0.29,,,,0.29,-0.002,,0.78,0.009
02/09/18,2018,9,1802-09,,-0.02,,,,0.5,-0.002,,0.51,0.013
02/09/18,2018,10,1802-10,,-0.02,,,,0.5,0.002,,0.54,0.013
02/09/18,2018,11,1802-11,,-0.02,,,,0.31,0.002,,0.48,0.014
02/09/18,2018,12,1802-12,,-0.02,,,,0.33,0.003,,0.4,0.011
02/09/18,2018,14,1802-14,,-0.02,,,,0.35,0.007,,0.65,0.028
03/09/18,2018,1,1803-01,,-0.02,,,,0.64,0.005,,0.72,0.018
03/09/18,2018,2,1803-2A,,-0.02,,,,0.67,0.005,,0.74,0.016
03/09/18,2018,3,1803-03,,-0.02,,,,0.58,0.002,,0.64,0.009
03/09/18,2018,4,1803-04,,-0.02,,,,0.59,0.003,,0.67,0.011
03/09/18,2018,5,1803-05,,-0.02,,,,0.62,0.002,,0.71,0.011
03/09/18,2018,6,1803-06,,0.23,,,,1.41,0.013,,1.88,0.048
03/09/18,2018,7,1803-07,,-0.02,,,,0.55,0.002,,0.64,0.008
03/09/18,2018,8,1803-08,,0.14,,,,0.14,0.002,,0.42,0.009
03/09/18,2018,9,1803-09,,-0.02,,,,0.41,0.002,,0.45,0.009
03/09/18,2018,10,1803-10,,-0.02,,,,0.4,0.003,,0.44,0.008
03/09/18,2018,11,1803-11,,-0.02,,,,0.31,0.003,,0.39,0.01
03/09/18,2018,12,1803-12,,-0.02,,,,0.18,0.004,,0.25,0.01
03/09/18,2018,14,1803-14,,-0.02,,,,0.55,0.004,,0.59,0.013
04/13/18,2018,1,1804-01,,-0.02,,,,0.91,0.01,,1.06,0.036
04/13/18,2018,2,1804-2A,,-0.02,,,,0.88,0.008,,1.06,0.03
04/13/18,2018,3,1804-03,,-0.02,,,,0.73,0.003,,0.93,0.023
04/13/18,2018,4,1804-04,,-0.02,,,,0.69,-0.002,,0.79,0.011
04/13/18,2018,5,1804-05,,-0.02,,,,0.73,-0.002,,0.98,0.012
04/13/18,2018,6,1804-06,,-0.02,,,,1.88,0.005,,2.1,0.024
04/13/18,2018,7,1804-07,,-0.02,,,,0.62,-0.002,,0.86,0.011
04/13/18,2018,8,1804-08,,0.1,,,,0.3,-0.002,,0.55,0.008
04/13/18,2018,9,1804-09,,-0.02,,,,0.41,-0.002,,0.45,0.008
04/13/18,2018,10,1804-10,,-0.02,,,,0.43,-0.002,,0.49,0.008
04/13/18,2018,11,1804-11,,-0.02,,,,0.29,0.003,,0.36,0.009
04/13/18,2018,12,1804-12,,-0.02,,,,0.14,0.002,,0.23,0.008
04/13/18,2018,14,1804-14,,-0.02,,,,0.57,-0.002,,0.57,0.004
05/11/18,2018,1,1805-01,,-0.02,,,,0.75,0.011,,0.93,0.04
05/11/18,2018,2,1805-2A,,-0.02,,,,0.8,0.012,,1,0.046
